,algorithm_name
3923,weka.AttributeSelectedClassifier_Bagging_DecisionStump
3925,weka.AttributeSelectedClassifier_Bagging_IBk
3927,weka.AttributeSelectedClassifier_Bagging_J48
3929,weka.AttributeSelectedClassifier_Bagging_JRip
3931,weka.AttributeSelectedClassifier_Bagging_LMT
3932,weka.Bagging_LMT
3933,weka.AttributeSelectedClassifier_Bagging_LWL_DecisionStump
3934,weka.Bagging_LWL_DecisionStump
3935,weka.LWL_DecisionStump
3936,weka.AttributeSelectedClassifier_Bagging_NaiveBayes
3938,weka.AttributeSelectedClassifier_Bagging_OneR
3939,weka.Bagging_OneR
3940,weka.AttributeSelectedClassifier_Bagging_RandomTree
3942,weka.AttributeSelectedClassifier_NaiveBayesUpdateable
3943,weka.AttributeSelectedClassifier_KStar
3944,weka.AttributeSelectedClassifier_LWL_DecisionStump
3946,weka.AttributeSelectedClassifier_LWL_J48
3947,weka.LWL_J48
3948,weka.AttributeSelectedClassifier_LWL_RandomTree
3949,weka.LWL_RandomTree
3950,weka.AttributeSelectedClassifier_ClassificationViaRegression_M5P
3951,weka.ClassificationViaRegression_M5P
3952,weka.AttributeSelectedClassifier_CVParameterSelection_ZeroR
3954,weka.AttributeSelectedClassifier_Dagging_DecisionStump
3955,weka.Dagging_DecisionStump
3956,weka.AttributeSelectedClassifier_END_ND_J48
3957,weka.END_ND_J48
3959,weka.AttributeSelectedClassifier_IterativeClassifierOptimizer_LogitBoost_DecisionStump
3960,weka.IterativeClassifierOptimizer_LogitBoost_DecisionStump
3962,weka.AttributeSelectedClassifier_RacedIncrementalLogitBoost_DecisionStump
3963,weka.RacedIncrementalLogitBoost_DecisionStump
3964,weka.AttributeSelectedClassifier_RandomCommittee_RandomTree
3966,weka.AttributeSelectedClassifier_RandomSubSpace_REPTree
3968,weka.AttributeSelectedClassifier_LogitBoost_DecisionStump
3970,weka.AttributeSelectedClassifier_MultiBoostAB_DecisionStump
3971,weka.MultiBoostAB_DecisionStump
3972,weka.AttributeSelectedClassifier_MultiBoostAB_NaiveBayes
3973,weka.MultiBoostAB_NaiveBayes
3974,weka.AttributeSelectedClassifier_MultiBoostAB_IBk
3975,weka.MultiBoostAB_IBk
3976,weka.AttributeSelectedClassifier_MultiBoostAB_JRip
3977,weka.MultiBoostAB_JRip
3978,weka.AttributeSelectedClassifier_MultiBoostAB_OneR
3979,weka.MultiBoostAB_OneR
3980,weka.AttributeSelectedClassifier_MultiBoostAB_J48
3981,weka.MultiBoostAB_J48
3982,weka.AttributeSelectedClassifier_MultiBoostAB_RandomTree
3983,weka.MultiBoostAB_RandomTree
3984,weka.AttributeSelectedClassifier_MultiBoostAB_REPTree
3985,weka.MultiBoostAB_REPTree
3986,weka.AttributeSelectedClassifier_DTNB
3987,weka.AttributeSelectedClassifier_PART
3988,weka.AttributeSelectedClassifier_DecisionStump
3989,weka.AttributeSelectedClassifier_LADTree
3990,weka.AttributeSelectedClassifier_LMT
3991,weka.AttributeSelectedClassifier_NBTree
3992,weka.AttributeSelectedClassifier_RandomTree
3993,weka.AttributeSelectedClassifier_SimpleLogistic
3994,mlr.classif.kknn.preproc.preproc
3997,mlr.classif.kknn.preproc.preproc
3999,mlr.classif.kknn.preproc.preproc
4001,mlr.classif.kknn.preproc.preproc
4002,weka.FilteredClassifier_MultiSearch_IBk
4006,weka.LibSVM
4016,weka.FilteredClassifier_MultiSearch_SMO_RBFKernel
4019,weka.FilteredClassifier_MultiSearch_J48
4024,weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree
4027,weka.FilteredClassifier_NaiveBayes
4028,weka.FilteredClassifier_MultiSearch_Logistic
4030,weka.FilteredClassifier_MultiSearch_RandomForest
4050,weka.FilteredClassifier_MultiSearch_MultilayerPerceptron
4148,mlr.classif.rpart
4149,mlr.classif.randomForest
4246,rm.process.neural_net
4248,rm.process.k_nn
4250,rm.process.naive_bayes
4252,rm.process.parallel_random_forest
4254,rm.process.adaboost_decision_stump
4259,rm.process.bayesian_boosting_parallel_decision_tree
4261,rm.process.polynomial_by_binomial_classification_support_vector_machine
4266,weka.FilteredClassifier_Discretize_MultilayerPerceptron
